Department or Agency,Platfom,Account,Account text,URL
Department of Aviation - O'Hare Airport,Flickr,fly2ohare,fly2ohare,https://www.flickr.com/photos/fly2ohare/albums
Department of Aviation - O'Hare Airport,Instagram,flyohare,flyohare,https://www.instagram.com/flyohare
Department of Aviation - O'Hare Airport,Twitter,fly2ohare,fly2ohare,https://twitter.com/fly2ohare
Department of Buildings,Facebook,ChicagoDOB,ChicagoDOB,https://www.facebook.com/ChicagoDOB
Department of Buildings,Twitter,ChicagoDOB,ChicagoDOB,www.twitter.com/ChicagoDOB
Department of Cultural Affairs and Special Events (DCASE),Facebook,ChicagoDCASE,ChicagoDCASE,https://www.facebook.com/ChicagoDCASE/
Department of Cultural Affairs and Special Events (DCASE),Instagram,chicagodcase,chicagodcase,https://www.instagram.com/chicagodcase
Department of Cultural Affairs and Special Events (DCASE),Snapchat,,chicagodcase,
Department of Cultural Affairs and Special Events (DCASE),Twitter,ChicagoDCASE,ChicagoDCASE,www.twitter.com/ChicagoDCASE
Department of Cultural Affairs and Special Events (DCASE),YouTube,ChicagoCultureEvents,ChicagoCultureEvents,https://www.youtube.com/user/ChicagoCultureEvents
Department of Innovation and Technology,Twitter,ChicagoDoIT,ChicagoDoIT,https://twitter.com/ChicagoDoIT
Department of Planning and Development,Facebook,ChicagoDPD,ChicagoDPD,https://www.facebook.com/chicagodpd
Department of Planning and Development,Instagram,chicagodpd,chicagodpd,https://www.instagram.com/chicagodpd
Department of Planning and Development,Twitter,ChicagoDPD,ChicagoDPD,www.twitter.com/ChicagoDPD
Department of Procurement Services,Facebook,ChicagoDPS,ChicagoDPS,https://www.facebook.com/ChicagoDPS/
Department of Procurement Services,Twitter,ChicagoDPS,ChicagoDPS,https://twitter.com/chicagodps
Department of Procurement Services,YouTube,Chicago DPS,Chicago DPS,https://www.youtube.com/user/ChicagoDPS
Department of Public Health (DPH),Facebook,ChicagoPublicHealth,ChicagoPublicHealth,https://www.facebook.com/ChicagoPublicHealth/
Department of Public Health (DPH),Instagram,ChiPublicHealth,ChiPublicHealth,https://www.instagram.com/ChiPublicHealth
Department of Public Health (DPH),Twitter,ChiPublicHealth,ChiPublicHealth,www.twitter.com/ChiPublicHealth
Department of Streets and Sanitation (DSS),Facebook,StreetsandSanitation,StreetsandSanitation,https://www.facebook.com/streetsandsanitation/
Department of Streets and Sanitation (DSS),Twitter,StreetsandSan,StreetsandSan,www.twitter.com/StreetsandSan
Department of Transportation (CDOT),Facebook,CDOTNews,CDOTNews,https://www.facebook.com/CDOTNews/
Department of Transportation (CDOT),Flickr,Chicago Department of Transportation,Chicago Department of Transportation,https://www.flickr.com/photos/64168757@N02/
Department of Transportation (CDOT),Twitter,ChicagoDOT,ChicagoDOT,www.twitter.com/ChicagoDOT
Department of Water Management,Facebook,ChicagoWater,ChicagoWater,https://www.facebook.com/ChicagoWaterManagement/
Department of Water Management,Twitter,ChicagoWater,ChicagoWater,www.twitter.com/ChicagoWater
Family & Support Services,Facebook,ChicagoDFSS,ChicagoDFSS,https://www.facebook.com/ChicagoDFSS/
Family & Support Services,Twitter,ChiFamSupport,ChiFamSupport,http://www.twitter.com/ChiFamSupport
Fleet and Facility Management (2FM),Twitter,ChiRiverwalk,ChiRiverwalk,http://www.twitter.com/ChiRiverwalk
Mayor's Office for People with Disabilities (MOPD),Facebook,CHIDisabilities,CHIDisabilities,https://www.facebook.com/CHIDisabilities/
Mayor's Office for People with Disabilities (MOPD),Twitter,CHIDisabilities,CHIDisabilities,www.twitter.com/CHIDisabilities
Mayor's Office of New Americans,Twitter,ChiNewAmericans,ChiNewAmericans,https://twitter.com/ChiNewAmericans
Mayor's Office of Strategic Partnerships and Global Affairs,Twitter,ChicagosGlobal,ChicagosGlobal,https://twitter.com/chicagosglobal
Mayor's Office of Sustainability,Twitter,SustainChicago,SustainChicago,www.twitter.com/SustainChicago
Office of Emergency Management and Communications,Facebook,Coemc,Coemc,https://www.facebook.com/coemc
Office of Emergency Management and Communications,Twitter,NotifyChicago,NotifyChicago,https://twitter.com/NotifyChicago
Office of Emergency Management and Communications,Twitter,ChicagoOEMC,ChicagoOEMC,http://www.twitter.com/ChicagoOEMC
Office of the Mayor,Facebook,ChicagoMayorsOffice,ChicagoMayorsOffice,https://www.facebook.com/ChicagoMayorsOffice/
Office of the Mayor,Instagram,ChicagosMayor,ChicagosMayor,https://www.instagram.com/ChicagosMayor 
Office of the Mayor,LinkedIn,City of Chicago,City of Chicago,https://www.linkedin.com/company/city-of-chicago
Office of the Mayor,Medium,ChicagosMayor,ChicagosMayor,https://medium.com/@ChicagosMayor
Office of the Mayor,Snapchat,,ChicagosMayor,
Office of the Mayor,Soundcloud,chicagosmayor,chicagosmayor,https://soundcloud.com/chicagosmayor
Office of the Mayor,Twitter,ChicagosMayor,ChicagosMayor,www.twitter.com/ChicagosMayor
Office of the Mayor,YouTube,ChicagosMayor,ChicagosMayor,https://www.youtube.com/chicagosmayor/about
Public Building Commission,Facebook,PBCChi,PBCChi,https://www.facebook.com/PBCChi/
Public Building Commission,Flickr,pbcchicago,pbcchicago,https://www.flickr.com/photos/pbcchicago
Public Building Commission,LinkedIn,Public Building Commission of Chicago,Public Building Commission of Chicago,https://www.linkedin.com/company/public-building-commission-of-chicago/
Public Building Commission,Pinterest,pbcchi,pbcchi,https://www.pinterest.com/pbcchi/
Public Building Commission,Twitter,PBCChi,PBCChi,www.twitter.com/PBCChi
World Business Chicago,Facebook,WorldBusinessChicago,WorldBusinessChicago,https://www.facebook.com/WorldBusinessChicago/
World Business Chicago,LinkedIn,World Business Chicago,World Business Chicago,https://www.linkedin.com/company/world-business-chicago/
World Business Chicago,Twitter,WorldBizChicago,WorldBizChicago,www.twitter.com/WorldBizChicago
World Business Chicago,YouTube,WorldBusinessChicago,WorldBusinessChicago,https://www.youtube.com/user/WorldBusinessChicago
